need_id,category,subcategory,task_summary
N_6b195d785e18486260554a48,"Фото и видеосъемка, монтаж",видеомонтаж,создать видеоролик
N_74b20100bb797d72a29ce45f,"Фото и видеосъемка, монтаж",videomontazh,смонтировать видеоролик
N_4a6ab4ad2148d85da110c2d6,"Фото и видеосъемка, монтаж",videomontazh,смонтировать подкаст
N_e8e6d8ae3088f124b7003256,"Фото и видеосъемка, монтаж",videomontazh,смонтировать видеоролик
N_0aca4b3d744ee2ccd293ced9,"Фото и видеосъемка, монтаж",видеомонтаж,создать заставки и смонтировать рилсы
N_99602653fdb374866fa1c4e0,IT-разработка и цифровые сервисы,разработка сайтов,настроить рекуррентные пожертвования
N_d2b2b16a93f12202b5ba9d9a,IT-разработка и цифровые сервисы,интеграция систем,интеграция платежных систем
N_3a52b15839356799bf85ff66,IT-разработка и цифровые сервисы,разработка сайтов,Настройка платежной системы
N_bbf01f281e0820329acf95fa,IT-разработка и цифровые сервисы,настройка платежных систем,Настройка платежной системы
N_0994267401c1d9fd443b6d33,IT-разработка и цифровые сервисы,диагностика и настройка платежных систем,диагностика и настройка платежных систем
N_196264d46dc401ad3bf17bfb,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для соцсетей
N_e7ce01f282b0383ead692749,Переводы,письменный перевод,перевести сценарий и новости
N_36c7714bf912484a47785e24,Переводы,письменный перевод,перевести презентацию с русского на английский
N_42c03862f93661bac215172f,Переводы,письменный перевод,перевести сценарии и статьи на английский
N_db756bb96bd2de90529ab068,Переводы,письменный перевод,перевести медицинские презентации
N_6afef6cbdcb6841726d1c165,Переводы,письменный перевод,перевести два документа
N_a4a9bb6823be82b2b2198758,Переводы,письменный перевод,перевести документы с английского на русский
N_c65854f497b578f5fc030518,Переводы,письменный перевод,перевести лендинг и релиз
N_56e6eb449d9b77a649d4ae61,Переводы,письменный перевод,перевести статьи
N_56724f7ec986e8a41926ae1e,Переводы,письменный перевод,перевести текст сайта и документ
N_991defaae9a7ef675db43f37,Переводы,письменный перевод,перевести биографии и истории пар
N_3ac93f3ef2abca54e28e3a04,Переводы,письменный перевод,перевести статьи с английского на русский
N_1e2b6df5fb0129d313e3a1bd,Переводы,письменный перевод,перевести текст о деменции
N_9154769dabb1da4e7468a9a6,Переводы,письменный перевод,перевести статьи на русский
N_aef57e98c17e4633e5c573fe,Переводы,письменный перевод,перевести текст и медицинскую выписку
N_74f464dc92cf0b23eb50258f,Переводы,письменный перевод,перевести статьи о ментальном здоровье
N_623d031f24a48aa80537f768,Переводы,письменный перевод,перевести тексты для выставки и статей
N_e9368f5e23ca7e5d6d8fb979,Переводы,письменный перевод,перевести документы на английский
N_997a5e9ffd5b984b49ac29b9,Переводы,письменный перевод,перевести статью и отчет
N_87b4bab4e5e69f4da42c45f5,Переводы,письменный перевод,перевести документы с разных языков
N_57eed4bbad22c1ef6a87d2c7,Переводы,письменный перевод,перевести медицинский сценарий и видеокурс
N_eac1992cf862c25256aca18c,Переводы,письменный перевод,перевести статью с русского на английский и обратно
N_3ff899df6ab67eeecf97f2bb,Переводы,письменный перевод,перевести и адаптировать тексты
N_1ef9122b47e0de363b0fa620,IT-разработка и цифровые сервисы,разработка программного обеспечения,разработка инструкций и ПО
N_5af19cf95762cba0649f335b,IT-разработка и цифровые сервисы,HR-системы,консультирование по мотивации и подбору персонала
N_34a218a8a77c92cfa8c62148,IT-разработка и цифровые сервисы,подбор персонала,Подбор кандидатов для НКО
N_a90e3461b2a99680407e4e4c,Копирайтинг и редакция текста,транскрибация,транскрибировать и рерайтить тексты
N_115000fdb71b0c268fe2c0ec,Дизайн,графический дизайн,создание иллюстраций для приложения
N_c789bc9d423e6cfd3917ad53,Копирайтинг и редакция текста,корректура,подготовка текста и транскрибация
N_289b248112d208874af4a2f2,IT-разработка и цифровые сервисы,数据分析和研究,сбор и анализ данных
N_33346363a66c60de9ba7ff4d,IT-разработка и цифровые сервисы,обработка аудио,разработать программу для транскрибации
N_c7aafe259ed5a565c3f023ea,Копирайтинг и редакция текста,корректура,расшифровка и редактирование интервью
N_bc51e80072ffcc34a3511e4e,Переводы,письменный перевод,расшифровать аудиоинтервью
N_4b8ed985cc69d3dc41bcfc31,Копирайтинг и редакция текста,транскрипция и редактура,расшифровать аудиофрагменты и отредактировать текст
N_8bf9d5afdb10df5384dc7b67,IT-разработка и цифровые сервисы,обработка аудио,расшифровать аудиозапись и подготовить отчет
N_ffa508440a165b493716c766,"Маркетинг (SMM, реклама, продвижение)",SMM,Подготовка и проведение рассылки
N_410439d3d1253f272c8ab57f,IT-разработка и цифровые сервисы,Telegram-боты,Автоматизация публикаций
N_2ce59bb0050d4a94fcb1dea4,IT-разработка и цифровые сервисы,аналитика,подготовка информации для отчета
N_1b81dca9aeea6cbfaa7610a3,IT-разработка и цифровые сервисы,создание сайтов,разработать сайт для мероприятия
N_39098027b105c5308b096d52,IT-разработка и цифровые сервисы,обработка аудио,расшифровать аудиоинтервью
N_6350fcd2e21b875398650b2e,Переводы,письменный перевод,расшифровка аудиозаписей
N_aa32938a967eadcebf3edf6f,Копирайтинг и редакция текста,транскрипция,расшифровка аудио/видео
N_c113e82914239fc535660d44,IT-разработка и цифровые сервисы,геометки на картах,корректировка геометок
N_c5f40adbf861e68605129f48,"Маркетинг (SMM, реклама, продвижение)",события и мероприятия,составить список и пригласить танцевальные коллективы
N_574e7dd728f42ca0ce3e4eda,Копирайтинг и редакция текста,транскрипция,расшифровать аудиофайлы
N_123697aaeae7b79acfeb1a74,Копирайтинг и редакция текста,корректура,отредактировать аудио/видео
N_4c80503855c2c3494bda0408,"Маркетинг (SMM, реклама, продвижение)",SMM,Подготовка и распространение анонсов
N_d1be44a933175744fda5e4f6,Копирайтинг и редакция текста,транскрибирование,расшифровать аудиозапись
N_432cb62dbd663c2da606e319,IT-разработка и цифровые сервисы,аналитика данных,сбор и анализ данных
N_494e5d9252531fafc97c7319,"Маркетинг (SMM, реклама, продвижение)",SMM,Подготовка анонсов для регионов
N_26f69ff3ee5ccfc459a30d41,IT-разработка и цифровые сервисы,аналитика данных,сбор и анализ данных
N_4f773b9419ab5cee22c98775,Копирайтинг и редакция текста,корректура,перевести и вычитать текст
N_2752509afe0ff99bc0816a6d,IT-разработка и цифровые сервисы,аналитика данных,сбор и анализ данных
N_ef17a51d2f3796c412e40340,IT-разработка и цифровые сервисы,разработка сайтов,создание гугл-анкет и транскрибация
N_c6223d6975644fb44144a1c4,IT-разработка и цифровые сервисы,аналитика,сбор базы данных и анализ
N_4902c7dd60588780ff478ad4,IT-разработка и цифровые сервисы,распознавание речи,создание программы для расшифровки аудио
N_7c78e76586c65611b20d369a,Переводы,письменный перевод,расшифровка аудио
N_edb7025bfddc9fa62bb80c8c,"Маркетинг (SMM, реклама, продвижение)",SMM,размещение анонсов мероприятий
N_7808a59cdcec2536e7885ddb,"Маркетинг (SMM, реклама, продвижение)",HR-маркетинг,систематизация контактов
N_430db8eecc24c62c98e685cc,Копирайтинг и редакция текста,корректура,расшифровка аудиозаписей
N_c43769d03fcfbd00c2639bce,IT-разработка и цифровые сервисы,Telegram-боты,систематизация данных в боте
N_7a67623ca427490b1f1b393e,Копирайтинг и редакция текста,корректура,расшифровка аудио/видео
N_2cae22c9658dd77f83b715b0,Копирайтинг и редакция текста,корректура,расшифровка и редактирование интервью
N_bfa5b2bfd8f94486753849a9,Дизайн,графический дизайн,Создать презентацию
N_f9368eab3e465b4371dfd009,Копирайтинг и редакция текста,корректура,расшифровать аудиоинтервью
N_98b0e7770815c8fc7ed5ccc3,IT-разработка и цифровые сервисы,исследования,собрать данные о компаниях
N_77dd96a2e4db15f9b30a4feb,"Маркетинг (SMM, реклама, продвижение)",SMM,поиск и анализ сообществ
N_251e803e9bbdb5c0f55ce0f2,"Маркетинг (SMM, реклама, продвижение)",SMM,создание анонсов для вебинара и мероприятия
N_bf49da9ea5cb59928fbb26ce,IT-разработка и цифровые сервисы,аналитика данных,создать базу данных и рассылку
N_91b83c2e6290c81db6d21ef0,Копирайтинг и редакция текста,корректура,расшифровка и редактирование аудио
N_90a45b87efe72fc9cc19a0f9,"Маркетинг (SMM, реклама, продвижение)",PR,создать базу контактов и организовать рассылку
N_cb973311c98ee1609b6f5757,Копирайтинг и редакция текста,транскрибирование,расшифровать аудиозаписи и отредактировать текст
N_1479a8d555f562ca8d1a4df2,"Маркетинг (SMM, реклама, продвижение)",организация мероприятий,перенос файлов и размещение анонсов
N_a031039d37e7fe1ad77fc525,IT-разработка и цифровые сервисы,обработка данных,перенести данные с сохранением формул
N_6adddac7dc4c75332ce42d11,IT-разработка и цифровые сервисы,разработка программного обеспечения,создать программу для поиска НКО и кофеен
N_5d431239ceb3695e16fc9524,"Маркетинг (SMM, реклама, продвижение)",аналитика,составить аналитический отчёт
N_db79c507ef7604e7b021fb9a,Копирайтинг и редакция текста,копирайтинг,подготовка анонсов мероприятий
N_0e3eda7bf172cd2bac80a59f,Копирайтинг и редакция текста,корректура,рерайт и транскрипция аудио
N_d071c674c74b5a071e679963,Юриспруденция,договорное право,разработать и проверить договора
N_ee45acd4959480740f0a27e1,Юриспруденция,юридическое сопровождение,составить документы
N_00c8047cb93201ba14e556a7,Юриспруденция,юридическое сопровождение,составление договора
N_8f09cf03721ab039fd3469bc,Юриспруденция,юридическое сопровождение,подготовка документов согласия
N_3bf627cd4fd5ae4f2d61c468,Юриспруденция,договорное право,подготовка договора и дополнительного соглашения
N_a75b4889ed74a9a1523f96c5,Юриспруденция,юридическое сопровождение,составление и проверка договоров
N_2b77c83daeb63db058fd6217,Юриспруденция,юридические документы,создать оферту и соглашение
N_a8f78fb052115593a6fb442b,Юриспруденция,разработка договоров,подготовка универсального договора
N_3f10613a3991067eba421df0,Юриспруденция,юридические документы,подготовка договоров
N_74e036f235e80f67258073cd,Юриспруденция,юридическое консультирование,составить договор и обновить документы
N_5b1ecbf4a47bb1535439a275,Юриспруденция,юридическое сопровождение,подготовка документов
N_ebe790cf0a5c2728d999cdb8,Юриспруденция,консультирование по праву,разработка документов по Datenschutz
N_98a21ba9f530d9031da7beda,Юриспруденция,юридические документы,подготовка документов
N_dbe555477bd19b54c069d324,Юриспруденция,документальное сопровождение,разработка договоров и документов
N_e412da003a4239d6ae5efe0f,Юриспруденция,консультация,разработка юридических документов
N_abfb33ade745cbe3ff071bde,Юриспруденция,юридическое консультирование,подготовка документов
N_2afef2af1534c59cc5f6cbfe,Юриспруденция,юридические документы,составить и проверить документы
N_75bdb51bb6e54ecc86accb53,Юриспруденция,юридические документы,проверка и разработка документов
N_33b96c133a5be3ec678be241,Юриспруденция,юридические документы,разработка документов
N_3fe0d30d8c888845a570abd1,Юриспруденция,договорное право,разработать юридический документ
N_b14172b4649ed6eb9b3d6a9c,Юриспруденция,договорная практика,составить договора
N_d6a432c5cae3d89b1761d429,Юриспруденция,юридические консультации,разработка политики защиты персональных данных
N_3d7f531ceb3fc91297262808,Копирайтинг и редакция текста,корректура,создание сжатой версии курса
N_f4280bf8b2687a56add29e22,IT-разработка и цифровые сервисы,разработка программного обеспечения,создать программу обучения
N_015e788e6499d8516b9912b5,Копирайтинг и редакция текста,сценарии,создание сценария спектакля
N_db4c1683cb4bb4fe6ff118dc,Копирайтинг и редакция текста,сценарии,создание сценариев для видеороликов
N_2a29774dee3dfe0e65f9d8f9,"Маркетинг (SMM, реклама, продвижение)",SEO,Настройка контекстной рекламы
N_ff8d2d0f7e70ad01b2108fee,"Маркетинг (SMM, реклама, продвижение)",SMM,настройка таргетированной рекламы
N_ca7a532676637d9f41b7defc,Дизайн,реклама,Настройка таргетированной рекламы
N_7ce352b0636771486e0c09d6,"Маркетинг (SMM, реклама, продвижение)",SMM,Оптимизация рекламных кампаний
N_38423765cabe752252375f32,"Маркетинг (SMM, реклама, продвижение)",SMM,настройка таргетированной рекламы
N_14451b481fa6be17f14561a2,"Маркетинг (SMM, реклама, продвижение)",SMM,Настройка таргетированной рекламы
N_33cc66235f33ee0ee6a6658d,"Маркетинг (SMM, реклама, продвижение)",фандрайзинг,предложить фандрайзинговые акции
N_be0f5f661212755bd8e483a5,IT-разработка и цифровые сервисы,Telegram-боты,разработка и интеграция бота
N_daa7dc6f58295a7b9a57054e,IT-разработка и цифровые сервисы,обновление сайта,переработать сайт WordPress
N_4f4e21244e17dfc2553881bb,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг и веб-сервис
N_d0af39639fe41652bb6b006d,IT-разработка и цифровые сервисы,разработка сайтов,создать и перенести сайт
N_60b04e0a0d8cf15688273654,IT-разработка и цифровые сервисы,SEO,оптимизация SEO и исправление форм
N_8802136da7e96b9d0d1ac28d,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт на WordPress/Tilda
N_8ced7337827511844db87a73,IT-разработка и цифровые сервисы,WordPress,Добавление логотипа и создания страницы
N_4db252eb39a6d38670743b21,IT-разработка и цифровые сервисы,разработка сайтов,настроить раздел сборов на сайте
N_b0c7b86e93f27e39d90aae63,IT-разработка и цифровые сервисы,WordPress,правка сайта
N_ba8d3e969677ce784ddb1d9c,IT-разработка и цифровые сервисы,перенос данных,перенести данные на Тильду
N_78b7c336cb34c5de5c567cba,IT-разработка и цифровые сервисы,SEO-оптимизация,аудит сайта и подготовка ТЗ
N_2f8a4c444dad9dc1874a6405,IT-разработка и цифровые сервисы,обновление сайта,регулярное обновление WordPress-сайта
N_e00022a56b28ab15a1839579,IT-разработка и цифровые сервисы,разработка сайтов,создать страницу с видео и отзывами
N_75f6aa778fe0be96711894cd,IT-разработка и цифровые сервисы,разработка сайтов,"доработка сайта с использованием Svelte, Ts, Firebase"
N_98fd24f095d3e719c77a79ec,IT-разработка и цифровые сервисы,разработка сайтов,обновление сайта WordPress
N_f6fd32ea88440a9b00852563,IT-разработка и цифровые сервисы,разработка сайтов,добавить функционал пожертвований
N_ef1097c079ddea9cb28dc04b,IT-разработка и цифровые сервисы,WordPress,публикация новостей
N_2e521fb616e4a3a4d0181562,IT-разработка и цифровые сервисы,разработка сайтов,обновление разделов сайта
N_357a1efcd5f8a55cee19e682,IT-разработка и цифровые сервисы,разработка сайтов,разработать сайт с формами и структурой
N_901e7c00e3146d7e9b3747b0,IT-разработка и цифровые сервисы,разработка сайтов,доработка сайта
N_0f09cdb2fe092367104b3af9,IT-разработка и цифровые сервисы,разработка сайтов,обновление сайта WordPress
N_0a60f69706dbda7a18145fb0,IT-разработка и цифровые сервисы,разработка сайтов,обновление сайта и устранение ошибок
N_b44234ee1340289bafc414e5,IT-разработка и цифровые сервисы,разработка сайтов,создать и обновить сайт
N_b5dd75283a5c0bd65fd65f30,IT-разработка и цифровые сервисы,WordPress,создать страницу сбора данных
N_65ea594b69823186075b6d0e,IT-разработка и цифровые сервисы,разработка сайтов,доработка и оптимизация сайта
N_e4f12fbf6637defdbdfc1166,IT-разработка и цифровые сервисы,разработка сайтов,доработка сайта в Битрикс и Tilda
N_aa570c3c88bcca3d9581a381,IT-разработка и цифровые сервисы,WordPress,обновление сайта
N_42276746c20c4432d9e63413,IT-разработка и цифровые сервисы,разработка сайтов,создать и адаптировать лендинг
N_47154d40930f769c6bd09fe8,IT-разработка и цифровые сервисы,разработка сайтов,переоснащение сайта
N_ce7979c9de4449bbbc955a9b,IT-разработка и цифровые сервисы,WordPress,Добавление блока и активация ссылок
N_d00675fe3a20e427898c31d6,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг и сайт
N_d5fd3a9d7c512f9cd5715490,IT-разработка и цифровые сервисы,WordPress,исправление ошибок на сайте
N_b04302bd0e4c7c66e9a2362c,IT-разработка и цифровые сервисы,обновление сайта,пересобрать структуру сайта
N_39e87085cf46cf7a8683be89,"Маркетинг (SMM, реклама, продвижение)",SMM,создание постов-интервью
N_6cb5c6d6271a31b9f80c3016,"Маркетинг (SMM, реклама, продвижение)",SMM,Собрать список блогеров
N_fd830ff75e6f3cbdbc84fa37,"Маркетинг (SMM, реклама, продвижение)",SMM,Координация взаимодействия с блогерами
N_4b1f1cbb198233882ebffa71,"Маркетинг (SMM, реклама, продвижение)",SMM,Подготовить контент-план
N_b922d8e196df2931eb587b6d,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать план взаимодействия
N_2434fc72d063a71639c0eed4,Копирайтинг и редакция текста,копирайтинг,написать пост в соцсети
N_f772c7110ea8dd9cd46caf39,Копирайтинг и редакция текста,копирайтинг,создание постов в социальных сетях
N_0477926007b1b19fb7344401,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать SMM-стратегию
N_4ca7c157068b88ef853d4679,"Маркетинг (SMM, реклама, продвижение)",SMM,создать контент-план и посты для соцсетей
N_f7ab27129509b6ae348b1482,"Маркетинг (SMM, реклама, продвижение)",SMM,Подготовка контента для соцсетей
N_d512e0bd35af5da22016a3fe,Копирайтинг и редакция текста,копирайтинг,создать тексты для соцсетей
N_8b84f1c7db72c02916cde0fb,"Маркетинг (SMM, реклама, продвижение)",SMM,Аудит социальных сетей
N_ef00e002750549b41ae69710,"Маркетинг (SMM, реклама, продвижение)",SMM,анализ и разработка SMM-стратегии
N_7319c362089d960637e2bc71,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать стратегию продвижения
N_cf2529fa4147cb9225b74ee6,"Маркетинг (SMM, реклама, продвижение)",SEO,разработка стратегии SMM
N_cb15bb7b25352a091b5e7f3e,"Маркетинг (SMM, реклама, продвижение)",SMM,Создать пост в социальной сети
N_6e18a179ae66b02301073127,"Маркетинг (SMM, реклама, продвижение)",SMM,размещение анонсов в группах ВКонтакте
N_07269f89974b41ad281f4f16,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка SMM-стратегии
N_7e421392536de0d7f8d5ccee,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка стратегии и контента
N_9f19fccb820776c4dbc99aa1,"Маркетинг (SMM, реклама, продвижение)",SMM,Подготовка постов для соцсетей
N_70496a59d5fc5764d6c62a61,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать SMM-стратегию
N_16b6b10489188fb9ae9ca0da,Дизайн,графический дизайн,создать презентацию и обложку
N_a5f83e70132bf35701651c0e,Дизайн,графический дизайн,разработать сертификаты и презентацию
N_d2fb0a9395b766e443eaede6,Дизайн,графический дизайн,создать баннер и карточку
N_e1ca479fe5ec272a1c36df93,Дизайн,презентации,создать презентацию
N_fb2a2bb88f422e802bd7ed64,Дизайн,графический дизайн,создание слайдов и карточек
N_8dd1ac39cd20c26974a7eacd,Дизайн,графический дизайн,создать баннеры для соцсетей
N_f08969ef79bfca47dad6b8fe,"Маркетинг (SMM, реклама, продвижение)",SMM,создание шаблонов постов и отчета
N_3cb5f15dfd395f92f7bd0df6,Дизайн,графический дизайн,создать чек-листы для соцсетей
N_6d2baaf486c140e2c53d57b7,Дизайн,графический дизайн,создать презентацию
N_5a921a4ae353e0b3c180c4e7,Дизайн,графический дизайн,создать чек-лист и баннер
N_3fe7d8ad21bde892e6aab665,Дизайн,графический дизайн,создать баннер и визуализацию маршрута
N_d1922b9b534fcade0f61e43f,Дизайн,графический дизайн,разработать обложки и презентацию
N_565b54a365e2adbd00622e4c,Дизайн,графический дизайн,создать инфографику и чек-листы
N_ce1ed5231c99d176b602ed37,Дизайн,графический дизайн,создание баннеров и обновление дизайна соцсетей
N_d806e8500c45b75a991cf4ea,Дизайн,графический дизайн,создать презентацию
N_c4346e7c14608b99723deaaa,Дизайн,графический дизайн,создание карточек и обложки
N_6fea66c013e08ba1564865e4,Дизайн,графический дизайн,создание дизайна отчетов
N_9c23e8212a06b9bae94edfa5,Дизайн,графический дизайн,создание баннера и адаптация макета открытки
N_da916d4bfa07872e622e25bc,Дизайн,графический дизайн,редактирование логотипа и создание плаката
N_3438bd786b4b963789f56b6a,Дизайн,графический дизайн,создать баннер для цифрового билборда
N_41d8ff3677aa851c16ef6458,IT-разработка и цифровые сервисы,Word-документы,создать редактируемые документы
N_7b50bfb1266952a66c1368c8,Дизайн,графический дизайн,создать презентацию и инфографику
N_e3e2b1136d92c1b60c64c353,Дизайн,графический дизайн,создать отчет и пост для соцсетей
N_5f949e37fb94f41ad51509c4,Дизайн,графический дизайн,создать годовой отчет PDF
N_c5d7f6d272b31fc44a5becd5,Дизайн,графический дизайн,создать шаблоны и баннер
N_d5f5814f4a531f5530ce308d,Дизайн,графический дизайн,создать графическое оформление
N_33171500f62ec9120a1b40cf,Дизайн,графический дизайн,создать чек-листы и инфографику
N_be301579fb8c9f3f4dc20442,Дизайн,верстка,верстка документов
N_06ac0293a22e1519dd70355c,Дизайн,графический дизайн,создать визуальный чек-лист
N_4363c5f216e74d6f9c71b893,Дизайн,графический дизайн,создать презентацию и годовой отчет
N_15746dabfbde94b279cdc891,IT-разработка и цифровые сервисы,верстка,создать PDF отчет
N_92b3939597eace8e28d9e1aa,Дизайн,графический дизайн,создание годового отчета и обновление соцсетей
N_eb4bc545815fb7d47cfb8c19,Дизайн,графический дизайн,создать баннер и заставку
N_9d98d1742f59b20abe674349,Дизайн,графический дизайн,создать презентацию
N_3df3afa4a1331583d37f8fa1,Дизайн,графический дизайн,создать шаблоны благодарностей
N_f140830262292f22a921eb60,Дизайн,графический дизайн,разработка афиш
N_72cc8413cc96769ebfff1b30,Дизайн,графический дизайн,создание обложек для соцсетей
N_aa8815267effb08aea5b4629,Дизайн,графический дизайн,создание шаблонов презентаций
N_94c9639700cb224eec548325,Дизайн,графический дизайн,разработка макетов для печати и онлайн
N_87738f8140b8fa8bc48840d1,Дизайн,графический дизайн,создание и обновление годового отчета
N_f09a2c476cd222b127659543,Дизайн,графический дизайн,доработка аватарок и обложек
N_de633b156b956ef11b866962,Дизайн,графический дизайн,разработка шаблонов постов и инфографики
N_e68ee06bbade0b630662f35a,Дизайн,графический дизайн,создать чек-лист и иконки
N_0d2ba6b6f40e06846a48c2c4,Дизайн,графический дизайн,создать карточку и презентацию
N_aa7d72a47ac65a50f29d7264,Дизайн,графический дизайн,создать баннеры и карточку отзывов
N_f485865f4fffdfb546b7dcd9,Дизайн,графический дизайн,создать презентацию и методический гайд
N_c444e4247997357ed85ea708,Дизайн,графический дизайн,подготовка годовых отчетов
N_29058b408f95143692ccd326,Дизайн,графический дизайн,создать оформление для соцсетей и баннер
N_89dcb4fe1291b5105a2ff20c,Дизайн,графический дизайн,подготовка ресайзов баннера
N_36e561f226e73f00f8bbd280,Дизайн,графический дизайн,создание баннеров
N_bf87c824a2e55092991873eb,Дизайн,графический дизайн,создать маршрутную карту и приглашение
N_e081771a62688e6e11aa5746,Дизайн,графический дизайн,создать презентацию
N_83356aa5cfc6da87345a74b7,Дизайн,графический дизайн,оформление презентации
N_26c6667789f9925ed388644d,Дизайн,графический дизайн,создать презентации
N_0eedde28c800bf90481d9513,Дизайн,графический дизайн,создать карточки и афишу
N_d16570f2e04431d3d73ad53c,Дизайн,графический дизайн,создание презентации и верстка отчета
N_0b5c86d008dc8d72da53b275,Дизайн,графический дизайн,создать баннер для соцсетей и сайта
N_89a818fff9bab2f63be82a45,Дизайн,графический дизайн,создать презентацию и открытку
N_15d85d42d82e8156d5f5b19d,Дизайн,графический дизайн,создание макетов для соцсетей
N_eacb86fa10b3e6f7ace37821,Дизайн,графический дизайн,разработать презентацию и чек-листы
N_a27ece5d602be4ebb3223404,Дизайн,графический дизайн,создать презентацию с фирменным стилем
N_d35bcda51be55223afbe45ff,Дизайн,графический дизайн,подготовка годового отчета в PDF
N_e453150757f3c6f15bcdbc2c,Дизайн,графический дизайн,создание баннеров и карточек
N_8a1421d164e7a7f3bbd5c787,Дизайн,графический дизайн,создать презентацию
N_ddd190ebd611b20b26f28927,Дизайн,графический дизайн,создать визуальный материал
N_d344550f9b4f8f68a82c13fa,Дизайн,графический дизайн,создать чек-листы и открытку
N_dc97cc4562dda7104602d852,Дизайн,графический дизайн,создать вертикальный баннер
N_dcfb48e85dc9ad07d8698117,Дизайн,графический дизайн,создать гайды и верстку отчета
N_271af8e333a6bdb95d5b75fa,Дизайн,графический дизайн,создать дизайн сертификата и карточки
N_4f74a67e8e3c88450280cbe4,Дизайн,графический дизайн,создать баннеры для сайта и соцсетей
N_d4d16194eb8c7589b0c94af5,Дизайн,графический дизайн,создать карточки и баннер для соцсетей
N_23959d8cc4e20e5d39f3f9bb,Дизайн,графический дизайн,создание баннеров для соцсетей
N_d47f65972848e5b1be88ab5d,Дизайн,графический дизайн,создать визуальные элементы для соцсетей
N_024117b93ab3f11c740f7192,Дизайн,графический дизайн,разработать публичный годовой отчет
N_1810fb66b4a671323c70c66e,Дизайн,графический дизайн,создание шаблона рассылки и верстка PDF
N_79b8b143f4548353c36249cd,Дизайн,графический дизайн,создание презентации и баннера
N_628a2fe12899ad20d120ce4a,Дизайн,графический дизайн,создать инфографику и презентацию
N_dc05b1533a6cf9ef1811c5e7,Дизайн,графический дизайн,создать презентацию
N_b803a4b40e465c225a3808fc,Дизайн,графический дизайн,создать инфографику и обновить дизайн соцсетей
N_6643692d4066fb2d3897e417,"Маркетинг (SMM, реклама, продвижение)",SMM,Создать шаблоны для соцсетей
N_c282ccde1b46ab69576c5a9f,Дизайн,графический дизайн,создать годовой отчет и презентацию
N_49193728bc18636f1a22a89f,Дизайн,графический дизайн,создать элементы фирменного стиля
N_4d5bd207a52f90dfd5646b86,Дизайн,графический дизайн,создать социальные баннеры
N_8d68e16d3b8c78ad260b69fc,Дизайн,графический дизайн,создать презентацию и чек-лист
N_d21a68858401558f3fb97b9e,Дизайн,графический дизайн,создание презентаций
N_a640641f0fd81c14a566a362,Дизайн,графический дизайн,создание валентинок и инфографики
N_f2a1dc8a0580f0f2ffa9f808,Дизайн,графический дизайн,создать презентацию и годовой отчет
N_cec633755f58e53792054206,Дизайн,графический дизайн,создать электронную открытку и афишу
N_1dfa5dce9dfa7b0d2201176b,Дизайн,графический дизайн,создание годового отчета и обложки для YouTube
N_e99070687f969ebdf6301c61,Дизайн,графический дизайн,создать отчет и презентацию
N_2311bc5f5d40928d9db26f8d,Дизайн,графический дизайн,создать креативы и презентацию
N_2e10a19d5f51652d4db63323,Дизайн,графический дизайн,создать презентацию и баннер
N_af323c2562831b8e01296e17,Копирайтинг и редакция текста,копирайтинг,создание шаблонов для соцсетей
N_e5d79d964a57e89542008191,Дизайн,графический дизайн,создать презентацию и инфографику
N_4000c9475af048cc1e215346,Дизайн,графический дизайн,создать годовой отчет и презентацию
N_cead4bc17a52f21ccf76ed9b,Дизайн,графический дизайн,создание баннеров и креативов
N_58615dd00e4fc13c50eb07ba,Дизайн,графический дизайн,создать презентацию
N_6649738a93ce24509e898efa,Дизайн,графический дизайн,создание баннеров
N_8ff5dd9680324ebe5493ed38,Дизайн,графический дизайн,создать аватарку и чек-лист
N_66646771c98ef7873028bbeb,"Маркетинг (SMM, реклама, продвижение)",SMM,создание шаблонов и инфографики
N_512f79040478c00aee4bf266,Дизайн,графический дизайн,создать аватарку и карточку
N_230a6f1e8abb799645be8003,Дизайн,графический дизайн,создать карточки и памятку
N_2aa7e1d463245bda24ddd6f9,Дизайн,графический дизайн,выполнить визуальное оформление группы ВК
N_d81c245dd6d33021c7ea1aaf,Дизайн,графический дизайн,создать баннер и презентацию
N_8e6319efea93d41bbda93126,Дизайн,графический дизайн,создать баннер и оформить соцсети
N_948964258c03106737b8a374,Дизайн,графический дизайн,создание информационных карточек
N_d5cc3e0cdaff569e0f44b45f,"Маркетинг (SMM, реклама, продвижение)",PR,создание PR-плана
N_dcc952bf69d7854a4e74efc1,IT-разработка и цифровые сервисы,аудит сайта,аудит и улучшение UX сайта
N_d0c5c57f9aba8949e7c1bbe0,"Маркетинг (SMM, реклама, продвижение)",PR-стратегии,разработать PR-стратегию
N_8fb6a77e8c918b8a61e9f550,Копирайтинг и редакция текста,копирайтинг,Подготовить тексты для презентации
